Root Name	Associated Name	Association Weight
Reelaiah	Baanah	1
Rehoboam	Abihail	1
Rehum	Maaseiah	1
Remaliah	Jerusalem	1
Rephaiah	Jahmai	1
Reuben	Moses	2
Reuel	Jaalam	1
Rezin	Nekoda	1
Riblah	Judah	2
Rizpah	Adriel	1
Sabtah	Raamah	1
Sallai	Amok	1
Samaria	Beersheba	1
Samaria	Jerusalem	2
Samson	David	1
Samuel	Gibeah	1
Samuel	Vashni	1
Sarai	Milcah	1
Saul	Ishbosheth	1
Saul	Mephibosheth	1
Saul	Tarsus	1
Secundus	Derbe	1
Seir	Ishi	1
Shaaraim	Gath	1
Shallum	Amariah	1
Shallum	Josiah	1
Shamed	Ono	1
Shammah	Sharar	1
Shapham	Jaanai	1
Shealtiel	Joshua	4
Sheba	Seba	1
Shebaniah	Malluch	1
Shebuel	Hananiah	1
Shechem	Shiloh	1
Shelah	Zarah	1
Shelemiah	Zephaniah	1
Shem	Uz	1
Shema	Zechariah	1
Shemaiah	Eliel	1
Shemaiah	Hashabiah	3
Shemaiah	Joiarib	2
Shemaiah	Obed	1
Shemaiah	Zadok	1
Shemiramoth	Jehonathan	1
Shephatiah	Ithream	1
Shephuphan	Huram	1
Sherebiah	Pethahiah	1
Sheva	Abiathar	1
Shimei	Eliezer	1
Shimei	Pethahiah	1
Shimshai	Jerusalem	1
Shobab	Solomon	3
Shochoh	Judah	1
Shual	Beri	1
Shuthelah	Becher	1
Silvanus	Timotheus	3
Simeon	Judah	4
Simeon	Shaphat	1
Simon	Didymus	1
Simon	Zebedee	2
Sisera	Barak	2
Socoh	Azekah	1
Solomon	Gibeon	1
Solomon	Judah	3
Solomon	Shimei	1
Sophereth	Peruda	1
Stephen	Prochorus	1
Taanach	Megiddo	4
Tamar	Amnon	1
Tarshish	Meres	1
Tebah	Maachah	1
Tema	Buz	1
Terah	Abram	3
Thomas	Galilee	1
Tiberius	Galilee	1
Tilon	Ishi	1
Timotheus	Jesus	1
Tirzah	Noah	1
Tola	Ephraim	1
Tophel	Laban	1
Tyre	Hosah	1
Ummah	Aphek	1
Uri	Sihon	1
Uriah	Zabad	1
Uthai	Judah	1
Uzzah	Ahio	1
Uzzi	Joel	1
Uzziah	Isaiah	1
Vaniah	Meremoth	1
Zabad	Shuthelah	1
Zachariah	Israel	1
Zadok	Eliel	1
Zadok	Pelethites	1
Zanoah	Azekah	1
Zebadiah	Arad	1
Zebulun	Cabul	1
Zebulun	Obadiah	1
Zechariah	Darius	1
Zechariah	Joiarib	1
Zechariah	Shemiramoth	3
Zedekiah	Jehucal	1
Zedekiah	Shelemiah	1
Zelophehad	Hoglah	3
Zemira	Anathoth	1
Zephaniah	Judah	1
Zerah	Shammah	3
Zeruiah	Abigail	1
Ziba	David	1
Zichri	Hanan	1
Zidon	Cyrus	1
Ziha	Hashupha	1
Zilpah	Jacob	2
Zin	Hamath	1
Ziph	Telem	1
Zobah	Hamath	1
Zorobabel	Abiud	1
Zur	Reba	2
Aaron	Benjamin	1
Abarim	Nebo	2
Abdon	Kish	2
Abiathar	Absalom	1
Abiathar	Shiloh	1
Abiezer	Mebunnai	1
